City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
63,Lubango,AO,64.63,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
64,Punta Arenas,CL,50.0,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
75,Cape Town,ZA,70.0,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
76,Dunedin,NZ,61.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
88,Tasiilaq,GL,32.0,broken clouds,65.6145,-37.6368,The Red House
89,Shimoda,JP,55.0,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
91,Salamiyah,SY,47.98,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
94,Tianpeng,CN,57.99,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
95,Mandalgarh,IN,50.45,clear sky,25.2,75.1,दुर्गा टेंट हाऊस
96,Vila,PT,36.0,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
102,Pacific Grove,US,55.0,broken clouds,36.6177,-121.9166,Lovers Point Inn
107,Fort Portal,UG,63.19,few clouds,0.6617,30.2748,Elegance hotel
109,Rocha,UY,63.48,clear sky,-34.4833,-54.3333,Beleza Pura B&B
110,Jalu,LY,57.67,clear sky,29.0331,21.5482,صاحبة الفخامة
111,Vilhena,BR,69.1,broken clouds,-12.7406,-60.1458,Hotel Mirage
112,Mar Del Plata,AR,64.0,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
113,Bredasdorp,ZA,66.2,light rain,-34.5322,20.0403,Bredasdorp Country Manor
114,Bilma,NE,59.59,clear sky,18.6853,12.9164,Expeditions Ténére voyages
116,Ceres,US,57.99,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
119,Dhankuta,NP,47.17,scattered clouds,26.9833,87.3333,Hotel Kanjirowa
121,Codrington,AU,60.4,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
122,Kitimat,CA,33.01,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
123,Chuy,UY,66.58,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Laiyang,CN,37.53,clear sky,36.9758,120.7136,莱阳恒银宾馆
129,Lasa,IT,39.0,light rain,46.6166,10.7002,Pension Feldgärtenhof
131,Laguna,US,57.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
132,Walla Walla,US,50.0,overcast clouds,46.0646,-118.343,Holiday Inn Express Walla Walla
137,Balkhash,KZ,32.0,broken clouds,46.844,74.9804,Family
140,Kaduna,NG,67.69,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
142,San Patricio,US,64.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
143,Tandalti,SD,59.2,clear sky,13.0167,31.8667,منزل : الهادي محمد مساعد
149,Ngaoundere,CM,60.82,scattered clouds,7.3167,13.5833,Hotel Mentong Palace
151,Skjervoy,NO,30.33,light snow,70.0311,20.9714,Skjervøy Byggeservice AS
155,Port Lincoln,AU,62.55,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
164,Saint George,US,55.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
172,Myre,NO,33.8,overcast clouds,69.1036,15.9492,Alveland AS
174,Katsuura,JP,57.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
175,Port Hardy,CA,42.8,broken clouds,50.6996,-127.4199,Airport Inn
176,Mizan Teferi,ET,62.78,scattered clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
178,Alegrete,BR,66.04,clear sky,-29.7831,-55.7919,Hotel Alegrete
179,Guerrero Negro,MX,63.28,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
180,Fortuna,US,48.99,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
182,Esperance,AU,60.8,broken clouds,-33.8667,121.9,Hospitality Esperance
185,Cabo San Lucas,MX,68.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
189,Torbay,CA,39.99,broken clouds,47.6666,-52.7314,Gallows Cove
192,Tambura,SS,64.31,clear sky,5.6,27.4667,Rikito Lodge
193,Golden,US,39.99,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
194,Lompoc,US,53.6,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
195,Lata,PT,50.0,scattered clouds,40.1629,-8.3327,Casa Maquia
196,Shangrao,CN,61.75,clear sky,28.4532,117.9686,Boyue boutique Hotel
197,Laurel,US,42.01,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
202,Pisco,PE,69.8,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
206,Atar,MR,57.7,scattered clouds,20.5169,-13.0499,Oumou Elghoura
207,North Bend,US,48.0,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
208,Plettenberg Bay,ZA,68.61,broken clouds,-34.0527,23.3716,Thanda Vista B&B
210,Zanjan,IR,39.36,overcast clouds,36.6736,48.4787,Qasr Hotel
211,Arona,ES,60.8,few clouds,28.0996,-16.681,Paradise Court
216,Vryburg,ZA,63.43,clear sky,-26.9566,24.7284,Times Premier Lodge
218,Komsomolskiy,UZ,41.0,light rain,40.4272,71.7189,Ikathouse
219,Bainbridge,US,48.2,broken clouds,47.6262,-122.5212,Bainbridge Island Country Inn
225,Sitka,US,32.0,few clouds,57.0531,-135.33,Westmark Sitka
226,Buraydah,SA,48.2,broken clouds,26.326,43.975,Mövenpick Hotel Qassim
232,Front Royal,US,36.0,clear sky,38.9182,-78.1944,Hampton Inn Front Royal
240,Rosetta,EG,55.4,clear sky,31.4044,30.4164,Green Valley
243,Syracuse,IT,55.0,few clouds,37.0881,15.2792,Hotel Posta
245,Ponta Do Sol,PT,54.0,few clouds,32.6667,-17.1,Hotel do Campo
246,Panzhihua,CN,55.99,clear sky,26.5851,101.7128,Electric Power Hotel
249,Nanning,CN,66.2,clear sky,22.8167,108.3167,Nanning Travelling With Hostel
250,Pitsunda,GE,44.6,light rain,43.1592,40.3378,Hotel FREEDOM
255,Brae,GB,33.8,overcast clouds,60.3964,-1.353,Busta House Hotel
258,Hamilton,US,30.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
262,Kalachinsk,RU,33.67,light snow,55.0529,74.5751,"Voskhod, Hotel"
263,Sorland,NO,35.4,few clouds,67.667,12.6934,Sjybrygga fiskecamp
271,Ahipara,NZ,69.31,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
278,Sheffield,GB,36.0,snow,53.383,-1.4659,Hotel Mercure Sheffield Kenwood Hall & Spa
279,Minab,IR,59.0,few clouds,27.1467,57.0801,Bam campground
286,Linxia,CN,32.9,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
287,Erzin,TR,53.01,scattered clouds,36.9559,36.2,Artemis Otel
288,Palm Coast,US,66.0,mist,29.585,-81.2078,Hammock Beach Golf Resort & Spa
289,Kaitangata,NZ,66.0,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
290,Potosi,BO,47.55,broken clouds,-19.5836,-65.7531,Hostal La Casona Potosí
292,Punta Alta,AR,65.97,broken clouds,-38.8759,-62.0736,Center Hotel Punta Alta
293,Vila Franca Do Campo,PT,59.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
294,Constitucion,CL,56.84,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
297,Hasaki,JP,57.2,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
298,Ginda,IN,41.34,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
299,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
301,Shelton,US,39.2,clear sky,41.3165,-73.0932,Hilton Garden Inn Shelton
303,San Julian,MX,61.16,broken clouds,21.0167,-102.1667,La Nueva España
304,Grants,US,33.8,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
305,Husavik,IS,33.8,broken clouds,66.0449,-17.3389,Bjarnabúð
312,Trelew,AR,57.72,few clouds,-43.249,-65.3051,Hotel Touring Club
313,Labunista,MK,44.96,broken clouds,41.2686,20.5961,Pupin's House
316,Klaksvik,FO,35.6,scattered clouds,62.2266,-6.589,Airbnb rooms
319,Kodinar,IN,65.39,clear sky,20.7903,70.7031,Gayatri Auto advisor
322,Cumpas,MX,60.64,clear sky,29.9833,-109.7833,Hotel La Palma
327,Corpus Christi,US,62.01,clear sky,27.8006,-97.3964,Holiday Inn Corpus Christi Downtown Marina
